"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Akaadian","Dignitas","Jungle",6,"0%","67%",6,19,16,1.2,"62.9%","17.1%","27.1%","17%",-20,194,5.5,6,"18.6%",257,"18.4%",,177,"18.7%",,0.48,0.4
"Allorim","Immortals","Top",14,"29%","57%",16,48,63,1.6,"68.1%","13.8%","25.5%","21%",-381,-75,-7.3,7.4,"24.1%",335,"19.0%",,213,"21.4%",,0.47,0.2
"Altec","Immortals","ADC",4,"0%","25%",4,15,2,0.4,"33.3%","22.2%","21.1%","0%",89,267,2,9.2,"31.4%",356,"22.8%",,237,"27.4%",,0.42,0.2
"aphromoo","Dignitas","Support",19,"32%","63%",9,40,121,3.3,"73.9%","5.1%","19.8%","26%",5,50,-2.1,0.9,"2.5%",119,"7.3%",,84,"8.0%",,1.33,0.35
"Apollo","Immortals","ADC",14,"29%","57%",24,32,61,2.7,"73.3%","20.7%","17.0%","21%",-83,-127,-5.3,8.5,"28.1%",461,"26.0%",,248,"25.1%",,0.47,0.33
"Bang","Evil Geniuses","ADC",18,"44%","44%",45,32,68,3.5,"60.8%","24.2%","13.2%","17%",-51,-12,-2.9,9.4,"31.0%",573,"30.2%",,278,"26.0%",,0.59,0.31
"Biofrost","TSM","Support",10,"60%","50%",4,30,78,2.7,"65.1%","3.2%","26.3%","10%",-84,-34,1.1,1.1,"3.3%",140,"8.1%",,98,"8.8%",,1.6,0.32
"Bjergsen","TSM","Middle",18,"67%","22%",60,24,95,6.5,"72.4%","28.0%","13.7%","22%",76,31,0.3,8.7,"26.1%",491,"28.8%",,276,"24.5%",,0.34,0.17
"Blaber","Cloud9","Jungle",18,"72%","61%",71,42,119,4.5,"74.2%","27.7%","26.3%","39%",370,358,9.7,6.5,"18.9%",320,"16.5%",,247,"20.2%",,0.37,0.4
"Broken Blade","TSM","Top",18,"67%","61%",34,39,97,3.4,"61.2%","15.9%","22.3%","44%",59,-134,-0.9,7.6,"24.6%",401,"22.9%",,242,"21.5%",,0.52,0.13
"Broxah","Team Liquid","Jungle",18,"83%","22%",31,20,125,7.8,"70.9%","14.1%","14.3%","39%",-72,-32,-1.1,5.7,"16.0%",193,"10.8%",,202,"17.1%",,0.38,0.34
"Closer","Golden Guardians","Jungle",18,"50%","50%",54,45,93,3.3,"73.5%","27.0%","22.4%","39%",29,317,7.8,6.2,"17.9%",290,"14.7%",,210,"19.0%",,0.32,0.37
"Cody Sun","100 Thieves","ADC",18,"39%","22%",51,33,86,4.2,"65.6%","24.4%","15.4%","11%",-70,60,2.3,9,"27.8%",478,"24.0%",,279,"25.3%",,0.35,0.28
"Contractz","100 Thieves","Jungle",12,"50%","83%",41,26,67,4.2,"70.1%","26.6%","21.1%","50%",215,193,0.7,6.1,"16.9%",409,"19.9%",,221,"19.3%",,0.45,0.38
"CoreJJ","Team Liquid","Support",18,"83%","78%",16,24,139,6.5,"70.5%","7.3%","17.1%","39%",109,52,-0.9,1.1,"2.9%",125,"6.9%",,110,"9.4%",,1.67,0.48
"Damonte","Golden Guardians","Middle",18,"50%","56%",39,37,96,3.6,"67.5%","19.5%","18.4%","22%",-32,-41,-1.4,8.7,"25.2%",444,"22.4%",,260,"23.5%",,0.38,0.22
"Dardoch","Dignitas","Jungle",13,"46%","77%",38,33,66,3.2,"73.8%","27.0%","25.0%","46%",137,117,-2.2,6.2,"18.1%",322,"18.8%",,209,"19.7%",,0.47,0.37
"Doublelift","TSM","ADC",18,"67%","67%",76,33,62,4.2,"64.5%","35.5%","18.9%","6%",-67,113,4.3,9.9,"32.6%",501,"28.4%",,322,"28.6%",,0.41,0.4
"Eika","Immortals","Middle",4,"0%","50%",7,13,6,1,"72.2%","38.9%","18.3%","25%",-68,14,4,8.8,"27.9%",438,"27.8%",,233,"27.0%",,0.51,0.2
"FBI","Golden Guardians","ADC",18,"50%","61%",58,30,84,4.7,"71.0%","29.0%","14.9%","22%",207,52,7.7,9.6,"30.3%",618,"30.7%",,297,"26.7%",,0.43,0.31
"Fenix","Dignitas","Middle",13,"46%","38%",30,24,69,4.1,"70.2%","21.3%","18.2%","31%",-31,110,-1.8,8.1,"23.5%",409,"25.1%",,231,"22.6%",,0.3,0.19
"Fragas","Counter Logic Gaming","Jungle",3,"0%","0%",5,16,5,0.6,"52.6%","26.3%","28.6%","0%",-502,-510,-9.7,4.8,"13.1%",240,"15.0%",,144,"15.9%",,0.32,0.36
"Froggen","Dignitas","Middle",6,"0%","33%",6,10,19,2.5,"71.4%","17.1%","14.3%","50%",-76,-216,-1.3,8.6,"25.0%",374,"27.0%",,235,"24.8%",,0.47,0.11
"Gate","Immortals","Support",4,"0%","75%",2,17,9,0.6,"61.1%","11.1%","23.9%","25%",13,-278,-1.8,0.9,"2.6%",109,"7.0%",,65,"7.4%",,1.5,0.27
"Goldenglue","Evil Geniuses","Middle",8,"38%","50%",24,21,28,2.5,"66.7%","30.8%","18.1%","38%",-65,-156,0.6,8.7,"25.7%",509,"26.0%",,258,"25.0%",,0.55,0.27
"Griffin","Counter Logic Gaming","Jungle",16,"31%","25%",23,39,99,3.1,"74.4%","14.0%","17.6%","38%",-155,-250,-2.3,5.2,"14.0%",236,"13.1%",,173,"16.7%",,0.34,0.43
"Hakuho","Immortals","Support",14,"29%","36%",2,35,82,2.4,"72.4%","1.7%","18.6%","29%",65,38,0.4,1.1,"2.9%",134,"7.8%",,84,"8.4%",,1.49,0.4
"Hauntzer","Golden Guardians","Top",18,"50%","56%",37,47,91,2.7,"64.0%","18.5%","23.4%","11%",52,63,5.2,8.2,"24.0%",477,"23.8%",,248,"22.4%",,0.51,0.25
"huhi","Golden Guardians","Support",18,"50%","50%",12,42,139,3.6,"75.5%","6.0%","20.9%","33%",17,68,1.3,1,"2.5%",162,"8.4%",,93,"8.4%",,1.77,0.38
"Huni","Evil Geniuses","Top",8,"38%","50%",18,26,37,2.1,"70.5%","23.1%","22.4%","38%",-85,-94,-4.5,7.6,"25.7%",518,"27.0%",,237,"22.8%",,0.3,0.25
"IgNar","FlyQuest","Support",18,"67%","56%",17,38,179,5.2,"74.2%","6.4%","22.0%","44%",47,-30,-0.5,1.2,"3.5%",155,"8.5%",,109,"9.2%",,1.69,0.53
"Impact","Team Liquid","Top",18,"83%","44%",40,47,92,2.8,"60.0%","18.2%","33.6%","11%",67,65,0.4,7.6,"21.9%",398,"23.0%",,239,"20.1%",,0.49,0.13
